City,Country,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed,Hemisphere
Fedorovskoye,RU,58.82,42.54,47.32,93,100,3.87,Northern
Willofs,DE,47.88,10.43,73.65,43,32,6.93,Northern
Nola,IT,40.92,14.53,69.94,56,17,8.05,Northern
Świątniki Górne,PL,49.93,19.95,71.53,33,39,10.29,Northern
Corella,PH,9.69,123.92,84.2,70,20,4.7,Northern
Piadena,IT,45.13,10.37,78.94,54,47,5.82,Northern
Tence,FR,45.12,4.29,64.6,49,100,16.11,Northern
Palladuc,FR,45.9,3.63,75.2,44,100,10.29,Northern
Lawitz,DE,52.11,14.64,72.03,29,81,1.99,Northern
Sambilawang,ID,-6.66,111.1,77.67,88,100,7.05,Southern
Sistan and Baluchestan,IR,28.5,60.5,81.52,15,14,10.78,Northern
Oslo County,NO,59.91,10.73,56.68,31,87,1.99,Northern
Hughes,US,35.07,-96.27,62.58,39,1,6.93,Northern
Porangaba,BR,-23.16,-48.14,73.72,49,0,6.04,Southern
Merkel,US,32.47,-100.01,66.43,39,1,6.93,Northern
Sigulda,LV,57.15,24.86,55.99,52,18,5.99,Northern
Departamento de Usulután,SV,13.43,-88.53,89.6,59,20,3.36,Northern
Torre de Don Miguel,ES,40.22,-6.58,59.0,86,97,10.0,Northern
Alsip,US,41.67,-87.74,51.44,29,20,8.05,Northern
Saint-Vincent-de-Paul,FR,43.74,-1.01,75.2,62,77,1.99,Northern
Parrsboro,CA,45.4,-64.33,43.0,84,100,10.0,Northern
Watertown,US,42.37,-71.18,43.47,41,40,26.4,Northern
Yinxingshu,CN,33.8,106.04,48.4,66,6,1.48,Northern
Santa Pau,ES,42.15,2.57,64.67,100,90,3.36,Northern
La Chapelle-de-Guinchay,FR,46.21,4.76,73.0,45,100,3.0,Northern
Zhenkou,CN,27.4,116.34,72.36,93,100,5.26,Northern
Letea Veche,RO,46.55,26.95,61.92,59,72,1.59,Northern
Jaykaynagar,IN,23.68,86.98,90.79,22,0,9.91,Northern
Chaiyaphum,TH,15.75,102.0,88.56,55,100,4.83,Northern
Saint-Georges-de-Montclard,FR,44.95,0.6,73.02,56,43,8.05,Northern
Xiangjiangcun,CN,25.53,115.75,73.18,94,100,2.33,Northern
Mae Tha,TH,18.46,99.14,83.37,66,75,6.93,Northern
Jinzipai,CN,29.85,117.81,65.62,81,100,2.77,Northern
Bolondrón,CU,22.76,-81.45,86.0,45,75,9.17,Northern
Uberaba,BR,-19.75,-47.93,77.0,38,20,9.17,Southern
Garajati,ID,-7.05,108.64,76.77,88,100,2.95,Southern
Brighton,AU,-27.3,153.06,63.66,92,100,4.14,Southern
Mazaye,FR,45.79,2.86,75.2,44,90,10.29,Northern
North Braddock,US,40.4,-79.84,37.4,47,90,17.22,Northern
El Jamo,DO,19.63,-69.91,87.8,66,75,6.93,Northern
Schlitters,AT,47.37,11.83,66.61,67,76,1.99,Northern
Arnolds Park,US,43.37,-95.12,60.42,33,75,27.51,Northern
Zhangjiachang,CN,40.08,112.83,51.24,44,5,6.6,Northern
Saint-Cyr-sur-Loire,FR,47.4,0.67,73.4,60,90,3.36,Northern
Vylkove,UA,45.4,29.59,57.04,74,39,8.55,Northern
Belarus,BY,53.0,28.0,56.3,76,46,3.94,Northern
LaGrange County,US,41.64,-85.42,47.5,30,75,18.34,Northern
Căldăraru,RO,44.41,26.26,72.18,37,3,3.36,Northern
Halls Creek,AU,-18.27,127.77,68.41,31,0,7.9,Southern
Checun,CN,33.8,112.12,50.4,70,16,3.56,Northern
Steinbächle,DE,48.32,7.95,71.53,53,7,11.41,Northern
Ilz,AT,47.09,15.93,66.63,72,20,4.7,Northern
Gebze,TR,40.8,29.43,62.85,39,0,10.29,Northern
Vigía del Fuerte,CO,6.59,-76.9,94.69,54,47,2.26,Northern
Mission,CA,49.13,-122.31,70.97,46,75,11.41,Northern
Pattukkottai,IN,10.43,79.32,85.66,75,92,10.25,Northern
White Cloud,US,43.55,-85.77,47.55,34,75,21.92,Northern
Ventosa de la Cuesta,ES,41.41,-4.83,66.27,59,79,10.29,Northern
Benacazón,ES,37.34,-6.21,61.97,86,92,3.0,Northern
Barzun,FR,43.22,-0.13,72.39,73,74,4.7,Northern
Wakīl Rustam Kêlay,AF,31.45,65.29,75.2,14,1,4.7,Northern
Long Sault,CA,45.03,-74.88,35.98,51,75,17.22,Northern
Sotto il Monte Giovanni XXIII,IT,45.71,9.5,75.6,33,79,6.93,Northern
Runa,PT,39.07,-9.21,61.52,69,80,3.0,Northern
San Bartolomé,ES,29.0,-13.61,75.2,60,75,10.29,Northern
Rottach-Egern,DE,47.7,11.77,71.69,59,62,1.16,Northern
Hollenbek,DE,53.58,10.82,69.58,40,35,4.7,Northern
Hunding,DE,48.84,13.18,67.77,55,96,7.0,Northern
Rancho Cuyuni,VE,6.74,-61.62,94.39,34,61,5.88,Northern
Saint-Pierre-de-Mons,FR,44.55,-0.22,73.06,61,73,5.99,Northern
Niederwiesa,DE,50.87,13.02,68.0,45,100,3.0,Northern
Nogal de las Huertas,ES,42.39,-4.64,66.67,45,100,8.01,Northern
Yuquan,CN,26.61,101.6,71.1,35,0,1.21,Northern
Riau,ID,0.5,101.75,82.4,83,40,8.05,Northern
Mirów,PL,50.61,19.47,68.34,40,85,4.7,Northern
Hofstätten an der Raab,AT,47.08,15.75,66.6,72,20,4.7,Northern
Malchin,DE,53.73,12.78,66.2,48,20,4.7,Northern
Pirkkala,FI,61.46,23.63,48.36,34,8,6.93,Northern
Medford,US,42.33,-122.88,69.17,48,1,1.54,Northern
Gemeente Drimmelen,NL,51.67,4.78,74.95,23,90,5.82,Northern
Vazeilles-près-Saugues,FR,44.9,3.59,60.8,59,99,8.05,Northern
Shishkino,RU,55.27,37.76,55.26,58,75,6.71,Northern
Modbury,AU,-34.83,138.68,48.78,71,40,2.24,Southern
Saint-Priest-des-Champs,FR,45.99,2.76,66.72,44,95,10.29,Northern
Mendenhall Springs,US,37.59,-121.65,70.38,55,1,5.82,Northern
Fábiánsebestyén,HU,46.67,20.45,75.99,30,81,6.08,Northern
Daviess,US,37.7,-87.12,55.89,32,1,12.75,Northern
Plouigneau,FR,48.57,-3.7,60.03,87,100,8.05,Northern
Spantekow,DE,53.78,13.53,66.0,59,38,2.64,Northern
Capiatá,PY,-25.35,-57.44,80.6,26,0,23.04,Southern
Jedenspeigen,AT,48.5,16.87,71.96,41,98,7.72,Northern
Saint-Geniès-de-Comolas,FR,44.07,4.73,63.61,82,100,12.75,Northern
Dillingen,LU,49.85,6.32,63.86,68,53,6.93,Northern
Bornich,DE,50.13,7.77,60.35,84,84,1.99,Northern
Santibáñez del Val,ES,41.98,-3.48,64.4,63,40,14.99,Northern
Barun,RU,47.56,45.81,57.25,64,6,11.9,Northern
Caprese Michelangelo,IT,43.64,11.98,70.0,48,70,1.01,Northern
Jobbágyi,HU,47.83,19.68,72.79,27,78,6.93,Northern
Peach Springs,US,35.53,-113.43,85.26,15,1,9.17,Northern
Leichhardt,AU,-33.88,151.15,54.66,50,0,10.29,Southern
Otlja,MK,42.14,21.59,74.61,36,37,3.36,Northern
Appen,DE,53.65,9.73,71.38,35,43,4.7,Northern
Nebe,ID,-8.47,122.56,78.04,76,100,4.07,Southern
Tolox,ES,36.68,-4.94,72.86,47,20,12.75,Northern
Davydovo,RU,55.61,38.86,56.59,62,20,6.71,Northern
Vern-sur-Seiche,FR,48.05,-1.6,71.8,68,40,4.7,Northern
Saint-Martin-de-Beauville,FR,44.23,0.83,71.78,56,46,13.87,Northern
Wanmao,CN,34.8,103.2,34.93,85,80,1.21,Northern
Shinnston,US,39.4,-80.3,42.93,41,90,13.87,Northern
Poppendorf,DE,54.13,12.28,66.2,48,20,4.7,Northern
Elamanchili,IN,17.55,82.87,86.0,79,20,9.17,Northern
Castelluccio dei Sauri,IT,41.31,15.48,69.98,40,10,12.75,Northern
Casma,CL,-41.01,-73.12,56.37,67,100,23.04,Southern
Pelplin,PL,53.93,18.7,56.3,100,31,7.76,Northern
Hontanas,ES,42.31,-4.05,65.79,63,40,14.99,Northern
Plainview,US,40.78,-73.47,45.97,31,40,12.75,Northern
Gorka,RU,56.27,38.82,51.04,79,100,4.9,Northern
Bilad,PH,15.73,120.44,77.0,94,75,2.24,Northern
Kotwa,IN,25.02,81.32,92.52,14,0,2.1,Northern
Gunungpeundeuy,ID,-7.32,108.25,74.05,91,99,2.06,Southern
Kantharawichai,TH,16.33,103.3,91.4,52,100,5.82,Northern
Serui,ID,-1.88,136.23,81.55,80,45,3.4,Southern
